id,en,ja,pos,theme,level,is_frequent
1,friend,友だち,noun,people,eiken5,1
2,people,人々,noun,people,eiken5,1
3,baseball,野球,noun,sports,eiken5,1
4,window,窓,noun,home,eiken5,1
5,camera,カメラ,noun,tech,eiken5,1
6,evening,夕方,noun,time,eiken5,1
7,letter,手紙,noun,media,eiken5,1
8,park,公園,noun,place,eiken5,1
9,brother,兄,noun,people,eiken5,1
10,family,家族,noun,people,eiken5,1
11,do,〜をする,verb,action,eiken5,1
12,listen,聞く,verb,communication,eiken5,1
13,sister,姉,noun,people,eiken5,1
14,house,家,noun,home,eiken5,1
15,man,男性,noun,people,eiken5,1
16,soccer,サッカー,noun,sports,eiken5,1
17,get,～を得る,verb,action,eiken5,1
18,dictionary,辞書,noun,abstract,eiken5,1
19,woman,女の人,noun,people,eiken5,1
20,box,箱,noun,home,eiken5,1
21,doll,人形,noun,object,eiken5,1
22,look,見る,verb,action,eiken5,1
23,boy,男の子,noun,people,eiken5,1
24,girl,女の子,noun,people,eiken5,1
25,station,駅,noun,place,eiken5,1
26,subject,科目,noun,abstract,eiken5,1
27,dinner,夕食,noun,food,eiken5,1
28,room,部屋,noun,home,eiken5,1
29,tennis,テニス,noun,sports,eiken5,1
30,November,１１月,noun,time,eiken5,1
31,see,～を見る,verb,action,eiken5,1
32,homework,宿題,noun,abstract,eiken5,1
33,bird,鳥,noun,animal,eiken5,1
34,August,8月,noun,time,eiken5,1
35,clean,～をきれいにする,verb,action,eiken5,1
36,day,日,noun,time,eiken5,1
37,today,今日,noun,time,eiken5,1
38,basketball,バスケットボール,noun,sports,eiken5,1
39,gym,体育館,noun,place,eiken5,1
40,kitchen,台所,noun,home,eiken5,1
41,restaurant,レストラン,noun,place,eiken5,1
42,June,６月,noun,time,eiken5,1
43,February,２月,noun,time,eiken5,1
44,home,家,noun,home,eiken5,1
45,morning,朝,noun,time,eiken5,1
46,birthday,誕生日,noun,time,eiken5,1
47,fish,魚,noun,animal,eiken5,1
48,September,９月,noun,time,eiken5,1
49,year,年,noun,time,eiken5,1
50,club,クラブ,noun,abstract,eiken5,1
51,March,３月,noun,time,eiken5,1
52,Sunday,日曜日,noun,time,eiken5,1
53,afternoon,午後,noun,time,eiken5,1
54,hour,時間,noun,unit,eiken5,1
55,night,夜,noun,time,eiken5,1
56,April,4月,noun,time,eiken5,1
57,July,７月,noun,time,eiken5,1
58,umbrella,かさ,noun,object,eiken5,1
59,music,音楽,noun,abstract,eiken5,1
60,Wednesday,水曜日,noun,time,eiken5,1
61,classroom,教室,noun,place,eiken5,1
62,January,１月,noun,time,eiken5,1
63,Monday,月曜日,noun,time,eiken5,1
64,Saturday,土曜日,noun,time,eiken5,1
65,May,5月,noun,time,eiken5,1
66,weekend,週末,noun,time,eiken5,1
67,Friday,金曜日,noun,time,eiken5,1
68,Tuesday,火曜日,noun,time,eiken5,1
69,food,食べ物,noun,food,eiken5,1
70,week,週,noun,time,eiken5,1
71,art,美術,noun,abstract,eiken5,1
72,store,店,noun,abstract,eiken5,1
73,want,〜がほしい,verb,grammar,eiken5,1
74,animal,動物,noun,animal,eiken5,1
75,mountain,山,noun,nature,eiken5,1
76,Thursday,木曜日,noun,time,eiken5,1
77,October,10月,noun,time,eiken5,1
78,tree,木,noun,nature,eiken5,1
79,help,〜を助ける,verb,action,eiken5,1
80,newspaper,新聞,noun,media,eiken5,1
81,fruit,果物,noun,food,eiken5,1
82,like,～が好きである,verb,mind,eiken5,1
83,month,月,noun,time,eiken5,1
84,come,来る,verb,movement,eiken5,1
85,need,〜を必要とする,verb,grammar,eiken5,1
86,speak,話す,verb,communication,eiken5,1
87,winter,冬,noun,time,eiken5,1
88,cook,料理する,verb,action,eiken5,1
89,spring,春,noun,time,eiken5,1
90,December,１２月,noun,time,eiken5,1
91,meet,会う,verb,action,eiken5,1
92,singer,歌手,noun,occupation,eiken5,1
93,watch,～をじっと見る,verb,action,eiken5,1
94,hospital,病院,noun,place,eiken5,1
95,know,〜を知っている,verb,mind,eiken5,1
96,song,歌,noun,abstract,eiken5,1
97,wash,～を洗う,verb,action,eiken5,1
98,color,色,noun,abstract,eiken5,1
99,number,番号,noun,unit,eiken5,1
100,walk,歩く,verb,movement,eiken5,1
101,eat,食べる,verb,action,eiken5,1
102,story,物語,noun,media,eiken5,1
103,swim,泳ぐ,verb,movement,eiken5,1
104,write,～を書く,verb,action,eiken5,1
105,make,〜を作る,verb,action,eiken5,1
106,play,遊ぶ,verb,action,eiken5,1
107,take,～に乗る,verb,action,eiken5,1
108,test,テスト,noun,abstract,eiken5,1
109,bathroom,トイレ,noun,home,eiken5,1
110,drink,～を飲む,verb,action,eiken5,1
111,go,行く,verb,movement,eiken5,1
112,run,走る,verb,movement,eiken5,1
113,diary,日記,noun,media,eiken5,1
114,open,開ける,verb,action,eiken5,1
115,study,勉強する,verb,action,eiken5,1
116,player,選手,noun,occupation,eiken5,1
117,ski,スキーをする,verb,movement,eiken5,1
118,summer,夏,noun,time,eiken5,1
119,use,～を使う,verb,action,eiken5,1
120,work,働く,verb,action,eiken5,1
121,read,～を読む,verb,action,eiken5,1
122,sit,すわる,verb,movement,eiken5,1
123,wall,壁,noun,home,eiken5,1
124,bedroom,寝室,noun,home,eiken5,1
125,garden,庭,noun,home,eiken5,1
126,hair,髪の毛,noun,body,eiken5,1
127,sing,歌う,verb,action,eiken5,1
128,grandmother,祖母,noun,people,eiken5,1
129,have,～を持っている,verb,action,eiken5,1
130,tea,お茶,noun,food,eiken5,1
131,flower,花,noun,nature,eiken5,1
132,minute,分,noun,unit,eiken5,1
133,plane,飛行機,noun,transport,eiken5,1
134,start,始まる,verb,action,eiken5,1
135,post office,郵便局,noun,place,eiken5,1
136,Canada,カナダ,noun,country,eiken5,1
137,country,国,noun,nature,eiken5,1
138,rain,雨が降る,verb,action,eiken5,1
139,think,思う,verb,mind,eiken5,1
140,airport,空港,noun,place,eiken5,1
141,snow,雪,noun,nature,eiken5,1
142,talk,話す,verb,communication,eiken5,1
143,shower,シャワー,noun,abstract,eiken5,1
144,supermarket,スーパーマーケット,noun,place,eiken5,1
145,Australia,オーストラリア,noun,country,eiken5,1
146,blackboard,黒板,noun,object,eiken5,1
147,bread,パン,noun,food,eiken5,1
148,Japan,日本,noun,country,eiken5,1
149,mouth,口,noun,body,eiken5,1
150,buy,〜を買う,verb,action,eiken5,1
151,driver,運転手,noun,occupation,eiken5,1
152,grape,ブドウ,noun,food,eiken5,1
153,sleep,眠る,verb,action,eiken5,1
154,teach,～を教える,verb,action,eiken5,1
155,grandfather,祖父,noun,people,eiken5,1
156,job,仕事,noun,abstract,eiken5,1
157,badminton,バドミントン,noun,sports,eiken5,1
158,dancer,ダンサー,noun,occupation,eiken5,1
159,pianist,ピアニスト,noun,occupation,eiken5,1
160,history,歴史,noun,abstract,eiken5,1
161,waiter,ウェイター,noun,occupation,eiken5,1
162,Brazil,ブラジル,noun,country,eiken5,1
163,children,子どもたち,noun,people,eiken5,1
164,idea,考え,noun,abstract,eiken5,1
165,where,どこに,adverb,adverb,eiken5,1
166,pilot,パイロット,noun,occupation,eiken5,1
167,how,どうやって,adverb,adverb,eiken5,1
168,doctor,医者,noun,occupation,eiken5,1
169,when,いつ,adverb,adverb,eiken5,1
170,whose,だれの,pronoun,pronoun,eiken5,1
171,what,何,pronoun,pronoun,eiken5,1
172,which,どちら,pronoun,pronoun,eiken5,1
173,coin,硬貨,noun,unit,eiken5,1
174,dish,皿,noun,object,eiken5,1
175,sea,海,noun,nature,eiken5,1
176,who,だれ,pronoun,pronoun,eiken5,1
177,cloudy,くもった,adjective,adj_weather,eiken5,1
178,its,その,adjective,adj_quality,eiken5,1
179,my,私の,adjective,adj_quality,eiken5,1
180,ours,私たちのもの,pronoun,pronoun,eiken5,1
181,rainy,雨の,adjective,adj_weather,eiken5,1
182,snowy,雪の降る,adjective,adj_weather,eiken5,1
183,windy,風の強い,adjective,adj_weather,eiken5,1
184,his,彼の,pronoun,pronoun,eiken5,1
185,he,彼,pronoun,pronoun,eiken5,1
186,your,あなたの,adjective,adj_quality,eiken5,1
187,us,私たちを,pronoun,pronoun,eiken5,1
188,we,私たち,pronoun,pronoun,eiken5,1
189,her,彼女の,adjective,adj_quality,eiken5,1
190,it,それ,pronoun,pronoun,eiken5,1
191,mine,私のもの,pronoun,pronoun,eiken5,1
192,him,彼を,pronoun,pronoun,eiken5,1
193,you,あなた,pronoun,pronoun,eiken5,1
194,she,彼女,pronoun,pronoun,eiken5,1
195,sunny,晴れた,adjective,adj_weather,eiken5,1
