id,en,ja,pos,theme,level,is_frequent
1,build,〜を建てる,verb,creation,eiken3,1
2,health,健康,noun,body,eiken3,1
3,prize,賞,noun,abstract,eiken3,1
4,space,宇宙,noun,nature,eiken3,1
5,accident,事故,noun,abstract,eiken3,1
6,decide,〜を決める,verb,mind,eiken3,1
7,reason,理由,noun,abstract,eiken3,1
8,spend,～を過ごす,verb,action,eiken3,1
9,alone,一人で,adverb,adverb,eiken3,1
10,enough,十分な,adjective,adj_quantity,eiken3,1
11,sign,看板,noun,object,eiken3,1
12,steal,～を盗む,verb,action,eiken3,1
13,area,区域,noun,nature,eiken3,1
14,save,～を救う,verb,action,eiken3,1
15,license,免許証,noun,abstract,eiken3,1
16,taste,〜の味がする,verb,action,eiken3,1
17,hurt,～を傷つける,verb,action,eiken3,1
18,rule,規則,noun,abstract,eiken3,1
19,crowded,混雑した,adjective,adj_state,eiken3,1
20,introduce,～を紹介する,verb,communication,eiken3,1
21,smell,～の香りがする,verb,action,eiken3,1
22,hold,～を開く,verb,action,eiken3,1
23,since,～から,preposition,preposition,eiken3,1
24,winner,優勝者,noun,people,eiken3,1
25,ever,今までに,adverb,time,eiken3,1
26,main,主要な,adjective,adj_quality,eiken3,1
27,choose,選ぶ,verb,mind,eiken3,1
28,instead,代わりに,adverb,adverb,eiken3,1
29,nature,自然,noun,nature,eiken3,1
30,poor,貧しい,adjective,adj_state,eiken3,1
31,behind,〜の後ろに,preposition,preposition,eiken3,1
32,contact,～に連絡を取る,verb,communication,eiken3,1
33,lend,～を貸す,verb,action,eiken3,1
34,pay,支払う,verb,action,eiken3,1
35,schedule,予定,noun,time,eiken3,1
36,believe,信じる,verb,mind,eiken3,1
37,perform,～を上演する,verb,creation,eiken3,1
38,perseverance,忍耐,noun,abstract,eiken3,1
39,snowboard,スノーボード,noun,sports,eiken3,1
40,tournament,トーナメント,noun,sports,eiken3,1
41,important,重要な,adjective,adj_quality,eiken3,1
42,such,そのような,adjective,adj_quality,eiken3,1
43,tiger,トラ,noun,animal,eiken3,1
44,business,商売,noun,abstract,eiken3,1
45,cost,～がかかる,verb,action,eiken3,1
46,reach,～に着く,verb,movement,eiken3,1
47,cross,～を横断する,verb,movement,eiken3,1
48,never,一度も〜ない,adverb,adverb,eiken3,1
49,return,～を返す,verb,movement,eiken3,1
50,cheap,安い,adjective,adj_state,eiken3,1
51,die,死ぬ,verb,action,eiken3,1
52,keep,～を保つ,verb,action,eiken3,1
53,parade,パレード,noun,event,eiken3,1
54,without,〜なしで,preposition,preposition,eiken3,1
55,climb,登る,verb,movement,eiken3,1
56,marry,結婚する,verb,action,eiken3,1
57,passage,一節,noun,abstract,eiken3,1
58,design,～をデザインする,verb,creation,eiken3,1
59,finally,ついに,adverb,time,eiken3,1
60,panda,パンダ,noun,animal,eiken3,1
61,person,人,noun,people,eiken3,1
62,cover,〜を覆う,verb,action,eiken3,1
63,pass,合格する,verb,action,eiken3,1
64,aquarium,水族館,noun,place,eiken3,1
65,memory,思い出,noun,abstract,eiken3,1
66,myself,自分で,pronoun,pronoun,eiken3,1
67,type,種類,noun,abstract,eiken3,1
68,loud,（声や音が）大きい,adjective,adj_state,eiken3,1
69,adult,大人,noun,people,eiken3,1
70,herself,彼女自身,pronoun,pronoun,eiken3,1
71,award,賞,noun,abstract,eiken3,1
72,captain,主将,noun,people,eiken3,1
73,deep,深い,adjective,adj_size,eiken3,1
74,invest,投資する,verb,action,eiken3,1
75,serve,～を出す,verb,action,eiken3,1
76,abroad,海外に,adverb,adverb,eiken3,1
77,horror,ホラー,noun,media,eiken3,1
78,throw,投げる,verb,action,eiken3,1
79,below,下に,adverb,adverb,eiken3,1
80,either,どちらか,conjunction,conjunction,eiken3,1
81,mystery,推理小説,noun,media,eiken3,1
82,while,～している間に,conjunction,conjunction,eiken3,1
83,capital,首都,noun,place,eiken3,1
84,guess,～だと思う,verb,mind,eiken3,1
85,injure,〜をけがさせる,verb,action,eiken3,1
86,through,〜を通り抜けて,preposition,preposition,eiken3,1
87,across,〜の向こう側に,preposition,preposition,eiken3,1
88,carefully,注意深く,adverb,adverb,eiken3,1
89,language,言語,noun,abstract,eiken3,1
90,true,本当の,adjective,adj_quality,eiken3,1
91,package,包み,noun,object,eiken3,1
92,wet,濡れた,adjective,adj_state,eiken3,1
93,environment,環境,noun,nature,eiken3,1
94,worker,働く人,noun,occupation,eiken3,1
95,bakery,パン屋,noun,place,eiken3,1
96,cry,泣く,verb,action,eiken3,1
97,owner,所有者,noun,people,eiken3,1
98,someone,誰か,pronoun,pronoun,eiken3,1
99,else,その他に,adverb,adverb,eiken3,1
100,fashion,ファッション,noun,clothing,eiken3,1
101,platform,プラットフォーム,noun,place,eiken3,1
102,continue,～を続ける,verb,action,eiken3,1
103,follow,～に従う,verb,action,eiken3,1
104,astronaut,宇宙飛行士,noun,occupation,eiken3,1
105,exchange,～を交換する,verb,action,eiken3,1
106,nervous,緊張している,adjective,adj_emotion,eiken3,1
107,queen,女王,noun,people,eiken3,1
108,sugar,砂糖,noun,food,eiken3,1
109,century,世紀,noun,time,eiken3,1
110,explain,説明する,verb,communication,eiken3,1
111,push,押す,verb,action,eiken3,1
112,war,戦争,noun,abstract,eiken3,1
113,celebrate,〜を祝う,verb,action,eiken3,1
114,everywhere,至る所に,adverb,adverb,eiken3,1
115,symbol,象徴,noun,abstract,eiken3,1
116,button,ボタン,noun,object,eiken3,1
117,experience,経験,noun,abstract,eiken3,1
118,recipe,レシピ,noun,food,eiken3,1
119,actress,女優,noun,occupation,eiken3,1
120,clever,利口な,adjective,adj_quality,eiken3,1
121,fridge,冷蔵庫,noun,home,eiken3,1
122,mirror,鏡,noun,home,eiken3,1
123,barbecue,バーベキュー,noun,event,eiken3,1
124,fix,～を修理する,verb,creation,eiken3,1
125,power,力,noun,abstract,eiken3,1
126,bright,明るい,adjective,adj_quality,eiken3,1
