id,en,ja,pos,theme,level,is_frequent
1,add,〜を加える,verb,action,toeic,1
2,adjust,〜を調整する,verb,action,toeic,1
3,applaud,～に拍手を送る,verb,action,toeic,1
4,arrive,到着する,verb,action,toeic,1
5,become,～になる,verb,action,toeic,1
6,begin,始まる,verb,action,toeic,1
7,believe,〜を信じる,verb,action,toeic,1
8,borrow,～を借りる,verb,action,toeic,1
9,boycott,～をボイコットする,verb,action,toeic,1
10,cancel,〜を取り消す,verb,action,toeic,1
11,cash,～を換金する,verb,action,toeic,1
12,choose,選ぶ,verb,action,toeic,1
13,clean,〜を掃除する,verb,action,toeic,1
14,collect,〜を集める,verb,action,toeic,1
15,compare,～を比較する,verb,action,toeic,1
16,connect,〜を接続する,verb,action,toeic,1
17,contact,～に連絡する,verb,action,toeic,1
18,continue,続く,verb,action,toeic,1
19,curtail,〜を削減する,verb,action,toeic,1
20,debit,〜から引き落とす,verb,action,toeic,1
21,decide,～を決定する,verb,action,toeic,1
22,defer,～を延期する,verb,action,toeic,1
23,discover,～を発見する,verb,action,toeic,1
24,discuss,〜について話し合う,verb,action,toeic,1
25,display,〜を展示する,verb,action,toeic,1
26,double,〜を2倍にする,verb,action,toeic,1
27,empty,～を空にする,verb,action,toeic,1
28,endorse,〜を承認する,verb,action,toeic,1
29,enjoy,〜を楽しむ,verb,action,toeic,1
30,exempt,～を免除する,verb,action,toeic,1
31,experience,～を経験する,verb,action,toeic,1
32,explain,～を説明する,verb,action,toeic,1
33,face,〜と向き合う,verb,action,toeic,1
34,fasten,〜をしっかり締める,verb,action,toeic,1
35,handle,〜を扱う,verb,action,toeic,1
36,hang,～をつるす,verb,action,toeic,1
37,happen,起こる,verb,action,toeic,1
38,harvest,〜を収穫する,verb,action,toeic,1
39,incur,費用を負担する,verb,action,toeic,1
40,join,加入する,verb,action,toeic,1
41,kneel,ひざまずく,verb,action,toeic,1
42,lean,もたれる,verb,action,toeic,1
43,let,～させる,verb,action,toeic,1
44,lower,～を下げる,verb,action,toeic,1
45,mount,取り付ける,verb,action,toeic,1
