id,en,ja,pos,theme,level,is_frequent
1,afford to do,〜する余裕がある,verb,grammar,eiken2pre,0
2,agree to do,～することに同意する,verb,grammar,eiken2pre,0
3,be based on,～に基づいている,verb,grammar,eiken2pre,0
4,intend to do,～するつもりだ,verb,grammar,eiken2pre,0
5,mean to do,～するつもりである,verb,grammar,eiken2pre,0
6,might,かもしれない,verb,grammar,eiken2pre,1
7,offer to do,～しようと申し出る,verb,grammar,eiken2pre,0
8,prefer to do,〜することを好む,verb,grammar,eiken2pre,0
9,seem to do,～するようだ,verb,grammar,eiken2pre,0
10,tend to do,～しがちだ,verb,grammar,eiken2pre,0
11,used to do,以前は〜していた,verb,grammar,eiken2pre,0
12,accept,～を受け入れる,verb,action,eiken2pre,1
13,accomplish,～を達成する,verb,action,eiken2pre,0
14,accord,一致する,verb,action,eiken2pre,0
15,achieve,～を達成する,verb,action,eiken2pre,0
16,admit,〜を認める,verb,action,eiken2pre,0
17,affect,～に影響を及ぼす,verb,action,eiken2pre,0
18,allow,～するのを許す,verb,action,eiken2pre,1
19,amuse,～を楽しませる,verb,action,eiken2pre,0
20,apply,申し込む,verb,action,eiken2pre,0
21,apply for,～に応募する,verb,action,eiken2pre,0
22,arrest,～を逮捕する,verb,action,eiken2pre,0
23,attract,〜を惹きつける,verb,action,eiken2pre,1
24,babysit,子守りをする,verb,action,eiken2pre,0
25,balance,バランスをとる,verb,action,eiken2pre,1
26,bark,吠える,verb,action,eiken2pre,0
27,base,基づける,verb,action,eiken2pre,0
28,be away,留守にする,verb,action,eiken2pre,0
29,be in danger,危険にさらされている,verb,action,eiken2pre,0
30,be injured,怪我をする,verb,action,eiken2pre,0
31,beat,〜を負かす,verb,action,eiken2pre,0
32,behave,振る舞う,verb,action,eiken2pre,0
33,belong,所属する,verb,action,eiken2pre,1
34,bend,〜を曲げる,verb,action,eiken2pre,0
35,bet,きっと〜だ,verb,action,eiken2pre,0
36,bite,噛む,verb,action,eiken2pre,1
37,blame,～を責める,verb,action,eiken2pre,0
38,bloom,咲く,verb,action,eiken2pre,0
39,blow,吹く,verb,action,eiken2pre,0
40,bore,～を退屈させる,verb,action,eiken2pre,0
41,bother,～に迷惑をかける,verb,action,eiken2pre,1
42,break down,故障する,verb,action,eiken2pre,0
43,break out,勃発する,verb,action,eiken2pre,0
44,break up,（恋人と）別れる,verb,action,eiken2pre,0
45,breathe,呼吸する,verb,action,eiken2pre,1
46,bring about,〜を引き起こす,verb,action,eiken2pre,0
47,bring up,〜を育てる,verb,action,eiken2pre,0
48,burn down,焼け落ちる,verb,action,eiken2pre,0
49,burst,破裂する,verb,action,eiken2pre,0
50,call for,～を要求する,verb,action,eiken2pre,0
51,call off,〜を中止する,verb,action,eiken2pre,0
52,call out,大声で助けを呼ぶ,verb,action,eiken2pre,0
53,carry out,～を実行する,verb,action,eiken2pre,0
54,chase,〜を追う,verb,action,eiken2pre,0
55,chew,〜をかむ,verb,action,eiken2pre,0
56,combine,〜を結合する,verb,action,eiken2pre,1
57,come up with,〜を思いつく,verb,action,eiken2pre,0
58,compare,～を比較する,verb,action,eiken2pre,0
59,compete,競争する,verb,action,eiken2pre,1
60,complain,不平をいう,verb,action,eiken2pre,0
61,complete,〜を終わらせる,verb,action,eiken2pre,1
62,concentrate,集中する,verb,action,eiken2pre,0
63,confuse,～を混同する,verb,action,eiken2pre,1
64,connect,～をつなぐ,verb,action,eiken2pre,1
65,contain,含む,verb,action,eiken2pre,0
66,criticize,～を非難する,verb,action,eiken2pre,0
67,cut down,〜を切り倒す,verb,action,eiken2pre,0
68,cut off,〜を遮断する,verb,action,eiken2pre,0
69,decrease,減少する,verb,action,eiken2pre,0
70,delay,～を遅らせる,verb,action,eiken2pre,0
71,demonstrate,～を示す,verb,action,eiken2pre,0
72,depend,頼る,verb,action,eiken2pre,0
73,differ,違う,verb,action,eiken2pre,0
74,differ from,～と異なる,verb,action,eiken2pre,0
75,dig,掘る,verb,action,eiken2pre,0
76,disagree,意見が合わない,verb,action,eiken2pre,0
77,disappoint,～を失望させる,verb,action,eiken2pre,0
78,divide,～を分ける,verb,action,eiken2pre,0
79,do good,善行をする,verb,action,eiken2pre,0
80,do harm,～に損害を与える,verb,action,eiken2pre,0
81,do without,〜なしでやりくりする,verb,action,eiken2pre,0
82,donate,～を寄付する,verb,action,eiken2pre,0
83,dress up,正装する,verb,action,eiken2pre,0
84,earn,～を稼ぐ,verb,action,eiken2pre,1
85,eat out,外食する,verb,action,eiken2pre,0
86,educate,〜を教育する,verb,action,eiken2pre,0
87,embarrass,〜に恥をかかせる,verb,action,eiken2pre,0
88,employ,〜を雇う,verb,action,eiken2pre,0
89,encourage,～を励ます,verb,action,eiken2pre,0
90,end up with,結果的に〜を持つことになる,verb,action,eiken2pre,0
91,erase,～を消す,verb,action,eiken2pre,0
92,estimate,〜を見積もる,verb,action,eiken2pre,0
93,excite,〜を興奮させる,verb,action,eiken2pre,0
94,exist,存在する,verb,action,eiken2pre,0
