id,en,ja,pos,theme,level,is_frequent
64,sell,売る,verb,action,eiken4,0
76,important,重要な,adjective,mind,eiken4,0
77,useful,便利な,adjective,mind,eiken4,0
78,kind,親切な,adjective,mind,eiken4,0
92,season,季節,noun,general,eiken4,1
109,encourage,励ます,verb,action,eiken3,1
110,achieve,達成する,verb,action,eiken3,1
111,necessary,必要な,adjective,mind,eiken3,0
112,possible,可能な,adjective,mind,eiken3,0
114,various,様々な,adjective,mind,eiken3,0
115,similar,似た,adjective,mind,eiken3,0
118,convenient,便利な,adjective,mind,eiken3,0
124,information,情報,noun,school,eiken3,0
125,communication,コミュニケーション,noun,school,eiken3,0
126,transportation,交通手段,noun,general,eiken3,0
127,technology,技術,noun,school,eiken3,0
128,education,教育,noun,general,eiken3,0
131,government,政府,noun,general,eiken3,1
132,economy,経済,noun,school,eiken3,0
135,disaster,災害,noun,general,eiken3,1
136,schedule,スケジュール,noun,people,toeic_basic,0
137,deadline,締め切り,noun,people,toeic_basic,0
138,meeting,会議,noun,people,toeic_basic,0
139,project,プロジェクト,noun,people,toeic_basic,0
140,report,報告書,noun,people,toeic_basic,0
141,presentation,プレゼンテーション,noun,people,toeic_basic,0
142,conference,会議,noun,people,toeic_basic,0
143,budget,予算,noun,people,toeic_basic,0
144,profit,利益,noun,people,toeic_basic,0
145,sales,売上,noun,general,toeic_basic,0
146,customer,顧客,noun,people,toeic_basic,0
147,employee,従業員,noun,people,toeic_basic,0
148,manager,マネージャー,noun,people,toeic_basic,0
149,company,会社,noun,people,toeic_basic,0
150,business,ビジネス,noun,general,toeic_basic,0
151,market,市場,noun,general,toeic_basic,0
152,product,製品,noun,general,toeic_basic,0
153,service,サービス,noun,general,toeic_basic,0
154,quality,品質,noun,general,toeic_basic,0
155,contract,契約,noun,people,toeic_basic,0
156,negotiate,交渉する,verb,action,toeic_basic,0
157,confirm,確認する,verb,action,toeic_basic,0
158,submit,提出する,verb,action,toeic_basic,0
159,approve,承認する,verb,action,toeic_basic,0
160,efficient,効率的な,adjective,mind,toeic_basic,0
161,available,利用可能な,adjective,mind,toeic_basic,0
162,responsible,責任ある,adjective,mind,toeic_basic,0
163,flexible,柔軟な,adjective,mind,toeic_basic,0
164,professional,プロフェッショナルな,adjective,mind,toeic_basic,0
165,headquarters,本社,noun,general,toeic_basic,0
355,ability,能力,noun,mind,eiken4,1
357,account,アカウント,noun,daily,eiken4,0
358,act,行為,noun,people,eiken4,0
359,addition,追加,noun,daily,eiken4,0
360,adjective,形容詞,noun,daily,eiken4,0
361,advantage,利点,noun,mind,eiken4,1
363,advertisement,広告,noun,daily,eiken4,0
364,advice,アドバイス,noun,mind,eiken4,1
365,agency,代理店,noun,place,eiken4,0
366,agent,エージェント,noun,people,eiken4,0
368,aisle,通路,noun,place,eiken4,0
369,alarm,アラーム,noun,daily,eiken4,0
370,ambition,野心,noun,mind,eiken4,1
371,amusement,楽しみ,noun,people,eiken4,0
372,ancestor,先祖,noun,people,eiken4,0
373,angel,天使,noun,general,eiken4,0
374,ankle,足首,noun,daily,eiken4,0
375,anniversary,記念日,noun,daily,eiken4,0
376,apartment,アパート,noun,place,eiken4,0
377,appearance,外見,noun,mind,eiken4,1
378,appointment,予約,noun,daily,eiken4,0
379,architecture,建築,noun,place,eiken4,0
380,area,地域,noun,place,eiken4,0
381,argument,言い合い,noun,people,eiken4,1
382,astronaut,宇宙飛行士,noun,people,eiken4,0
383,athlete,運動選手,noun,people,eiken4,0
384,atom,原子,noun,nature,eiken4,0
385,attack,攻撃,noun,people,eiken4,0
386,attempt,試み,noun,mind,eiken4,1
387,attention,注意,noun,mind,eiken4,1
388,attitude,態度,noun,mind,eiken4,0
389,audience,観客,noun,people,eiken4,0
390,author,作者,noun,people,eiken4,0
391,award,賞,noun,people,eiken4,0
392,background,背景,noun,daily,eiken4,0
394,balcony,バルコニー,noun,place,eiken4,0
395,balloon,風船,noun,daily,eiken4,0
