id,en,ja,pos,theme,level,is_frequent
1,direction,方向,noun,abstract,eiken2pre,1
2,professor,教授,noun,occupation,eiken2pre,1
3,create,～を創造する,verb,creation,eiken2pre,1
4,item,項目,noun,abstract,eiken2pre,1
5,film,撮影する,verb,creation,eiken2pre,1
6,earth,地球,noun,nature,eiken2pre,1
7,goods,商品,noun,object,eiken2pre,1
8,insect,虫,noun,animal,eiken2pre,1
9,chemistry,化学,noun,abstract,eiken2pre,1
10,frozen,凍った,adjective,adj_state,eiken2pre,1
11,ma'am,女性への敬称（丁寧）,noun,abstract,eiken2pre,1
12,avocado,アボカド,noun,food,eiken2pre,1
13,heavily,激しく,adverb,adverb,eiken2pre,1
14,might,かもしれない,verb,grammar,eiken2pre,1
15,Russian,ロシアの,adjective,adj_nationality,eiken2pre,1
16,result,結果,noun,abstract,eiken2pre,1
17,cash,現金,noun,abstract,eiken2pre,1
18,reserve,〜を予約する,verb,action,eiken2pre,1
19,seed,種,noun,nature,eiken2pre,1
20,allow,～するのを許す,verb,action,eiken2pre,1
21,improve,～を改良する,verb,creation,eiken2pre,1
22,similar,似ている,adjective,adj_quality,eiken2pre,1
23,honey,はちみつ,noun,food,eiken2pre,1
24,recommend,〜を勧める,verb,communication,eiken2pre,1
25,amount,量,noun,unit,eiken2pre,1
26,bite,噛む,verb,action,eiken2pre,1
27,repair,～を修理する,verb,creation,eiken2pre,1
28,announcement,発表,noun,abstract,eiken2pre,1
29,training,訓練,noun,event,eiken2pre,1
30,wallpaper,壁紙,noun,home,eiken2pre,1
31,successful,成功した,adjective,adj_quality,eiken2pre,1
32,announce,発表する,verb,communication,eiken2pre,1
33,reservation,予約,noun,time,eiken2pre,1
34,suggest,〜を提案する,verb,communication,eiken2pre,1
35,weight,重さ,noun,unit,eiken2pre,1
36,technology,科学技術,noun,tech,eiken2pre,1
37,wheel,車輪,noun,object,eiken2pre,1
38,communicate,意思を通じ合う,verb,communication,eiken2pre,1
39,extra,追加の,adjective,adj_quality,eiken2pre,1
40,trade,交換する,verb,action,eiken2pre,1
41,develop,〜を開発する,verb,creation,eiken2pre,1
42,disappointed,がっかりした,adjective,adj_emotion,eiken2pre,1
